iter	Passed	Remaining
0	0	75
1	1	74
2	2	70
3	2	70
4	3	73
5	4	72
6	5	70
7	6	69
8	6	68
9	7	66
10	8	65
11	8	64
12	9	64
13	10	64
14	11	63
15	11	61
16	12	60
17	13	59
18	13	58
19	14	57
20	14	56
21	15	56
22	16	55
23	17	54
24	17	53
25	18	52
26	19	51
27	19	51
28	20	50
29	21	49
30	22	49
31	22	48
32	23	47
33	24	46
34	24	45
35	25	45
36	26	44
37	26	43
38	27	43
39	29	44
40	30	43
41	30	42
42	31	41
43	31	40
44	32	40
45	33	39
46	34	39
47	35	38
48	36	38
49	37	37
50	38	36
51	38	35
52	39	35
53	40	34
54	41	33
55	41	32
56	42	32
57	43	31
58	44	30
59	45	30
60	46	29
61	46	28
62	47	27
63	48	27
64	49	26
65	49	25
66	50	24
67	51	24
68	52	23
69	53	22
70	53	21
71	54	21
72	55	20
73	55	19
74	56	18
75	57	18
76	58	17
77	59	16
78	60	15
79	60	15
80	61	14
81	62	13
82	62	12
83	63	12
84	64	11
85	65	10
86	65	9
87	66	9
88	67	8
89	68	7
90	68	6
91	69	6
92	70	5
93	71	4
94	72	3
95	73	3
96	74	2
97	74	1
98	75	0
99	76	0
