iter	Passed	Remaining
0	150	150148
1	151	75669
2	152	50706
3	153	38212
4	154	30822
5	155	25839
6	157	22357
7	159	19733
8	160	17626
9	161	15973
10	162	14591
11	163	13454
12	164	12494
13	165	11658
14	167	11010
15	170	10489
16	171	9936
17	172	9425
18	173	8976
19	174	8563
20	175	8195
21	176	7852
22	177	7535
23	178	7246
24	179	6988
25	180	6748
26	181	6526
27	182	6352
28	184	6161
29	185	5985
30	186	5818
31	187	5662
32	188	5510
33	188	5365
34	189	5230
35	190	5102
36	191	4979
37	192	4865
38	193	4758
39	193	4653
40	194	4557
41	196	4475
42	197	4387
43	198	4308
44	199	4228
45	200	4153
46	201	4079
47	202	4012
48	203	3947
49	204	3882
50	205	3817
51	206	3758
52	207	3700
53	207	3641
54	208	3589
55	210	3547
56	211	3498
57	212	3448
58	213	3400
59	214	3356
60	215	3311
61	215	3266
62	216	3223
63	217	3183
64	218	3144
65	219	3108
66	220	3072
67	221	3035
68	222	2999
69	223	2965
70	224	2932
71	225	2906
72	226	2879
73	228	2853
74	228	2823
75	229	2793
76	230	2764
77	231	2736
78	232	2708
79	233	2682
80	234	2656
81	235	2631
82	235	2600
83	236	2576
84	237	2554
85	238	2531
86	239	2511
87	240	2493
88	241	2473
89	242	2453
90	243	2433
91	244	2414
92	245	2393
93	246	2374
94	247	2355
95	248	2337
96	248	2317
97	249	2300
98	250	2281
99	251	2263
100	252	2247
101	253	2231
102	254	2216
103	255	2205
104	257	2190
105	257	2175
106	258	2160
107	259	2145
108	260	2131
109	261	2117
110	262	2103
111	263	2090
112	264	2075
113	265	2062
114	266	2049
115	267	2036
116	267	2021
117	268	2010
118	271	2006
119	272	1996
120	273	1985
121	274	1972
122	275	1962
123	276	1954
124	277	1944
125	278	1932
126	279	1920
127	280	1910
128	281	1901
129	283	1896
130	284	1888
131	285	1878
132	286	1868
133	287	1860
134	288	1851
135	290	1842
136	291	1834
137	292	1824
138	293	1815
139	293	1805
140	295	1798
141	295	1787
142	296	1779
143	297	1769
144	299	1763
145	300	1755
146	301	1747
147	302	1739
148	303	1732
149	304	1725
150	305	1718
151	306	1711
152	307	1704
153	308	1696
154	309	1689
155	311	1682
156	312	1676
157	313	1669
158	314	1663
159	315	1657
160	316	1649
161	317	1642
162	318	1635
163	319	1629
164	320	1622
165	321	1616
166	322	1609
167	323	1603
168	324	1596
169	325	1591
170	326	1584
171	328	1579
172	329	1575
173	330	1569
174	331	1563
175	332	1558
176	333	1552
177	334	1546
178	336	1541
179	337	1535
180	338	1530
181	339	1524
182	340	1519
183	341	1513
184	342	1509
185	343	1504
186	345	1499
187	346	1494
188	347	1489
189	348	1484
190	349	1479
191	350	1474
192	351	1469
193	352	1465
194	353	1460
195	354	1455
196	355	1450
197	356	1445
198	357	1440
199	359	1436
200	360	1432
201	361	1427
202	362	1423
203	363	1418
204	364	1414
205	365	1409
206	366	1404
207	367	1400
208	368	1395
209	369	1391
210	370	1387
211	372	1383
212	373	1379
213	374	1375
214	375	1372
215	377	1368
216	378	1364
217	379	1360
218	380	1356
219	381	1354
220	383	1351
221	384	1347
222	385	1344
223	386	1340
224	388	1337
225	389	1333
226	390	1330
227	391	1326
228	393	1323
229	394	1319
230	395	1315
231	396	1312
232	397	1309
233	399	1306
234	400	1303
235	401	1299
236	402	1296
237	404	1293
238	405	1290
239	406	1286
240	407	1282
241	408	1279
242	409	1275
243	410	1272
244	411	1269
245	413	1266
246	414	1262
247	415	1259
248	416	1255
249	417	1253
250	419	1250
251	420	1247
252	421	1244
253	422	1241
254	423	1238
255	424	1235
256	452	1306
257	453	1303
258	454	1300
259	455	1296
260	456	1293
261	457	1290
262	459	1286
263	460	1283
264	461	1279
265	462	1276
266	463	1273
267	465	1270
268	466	1267
269	467	1264
270	469	1261
271	470	1258
272	471	1255
273	472	1252
274	473	1249
275	474	1245
276	476	1243
277	477	1240
278	478	1237
279	480	1235
280	481	1232
281	482	1229
282	483	1226
283	484	1222
284	486	1220
285	487	1217
286	489	1214
287	490	1211
288	491	1209
289	492	1206
290	494	1203
291	495	1201
292	497	1199
293	498	1196
294	499	1193
295	500	1191
296	502	1188
297	503	1185
298	504	1182
299	505	1179
300	506	1176
301	508	1174
302	509	1172
303	511	1170
304	512	1167
305	513	1164
306	514	1161
307	515	1158
308	516	1156
309	518	1153
310	519	1150
311	520	1147
312	521	1144
313	522	1142
314	524	1140
315	525	1138
316	527	1135
317	528	1133
318	529	1130
319	530	1128
320	531	1125
321	533	1122
322	534	1119
323	535	1117
324	536	1114
325	538	1112
326	539	1111
327	541	1108
328	542	1105
329	543	1103
330	544	1100
331	545	1097
332	546	1095
333	547	1092
334	549	1089
335	550	1087
336	551	1085
337	552	1082
338	554	1080
339	555	1078
340	556	1076
341	557	1073
342	559	1070
343	560	1068
344	561	1066
345	562	1063
346	563	1061
347	565	1058
348	566	1056
349	567	1053
350	568	1051
351	570	1049
352	571	1047
353	572	1045
354	573	1042
355	574	1040
356	576	1037
357	577	1035
358	578	1032
359	579	1030
360	580	1028
361	582	1026
362	583	1024
363	584	1021
364	586	1019
365	587	1017
366	588	1015
367	589	1012
368	590	1010
369	592	1008
370	593	1005
371	594	1003
372	595	1001
373	597	999
374	598	997
375	599	995
376	600	992
377	602	990
378	603	988
379	604	986
380	605	983
381	606	981
382	607	979
383	609	977
384	610	975
385	612	973
386	613	971
387	614	969
388	616	967
389	617	965
390	618	963
391	619	961
392	620	958
393	622	956
394	623	954
395	624	952
396	625	949
397	626	947
398	627	945
399	629	943
400	630	941
401	631	939
402	632	937
403	633	935
404	635	933
405	636	931
406	637	928
407	638	926
408	639	923
409	640	921
410	641	919
411	643	917
412	644	916
413	645	914
414	646	911
415	648	909
416	649	907
417	650	905
418	651	903
419	652	901
420	654	899
421	655	897
422	656	895
423	657	893
424	659	891
425	660	889
426	661	887
427	662	885
428	663	883
429	665	881
430	666	879
431	667	877
432	668	875
433	669	873
434	670	871
435	671	869
436	673	867
437	674	865
438	675	863
439	676	861
440	677	859
441	678	857
442	680	855
443	681	853
444	682	851
445	683	849
446	684	847
447	686	845
448	687	843
449	688	841
450	689	839
451	690	837
452	692	835
453	693	833
454	694	831
455	695	829
456	696	827
457	697	825
458	698	823
459	700	821
460	701	820
461	702	818
462	704	816
463	705	814
464	706	812
465	707	810
466	708	808
467	709	806
468	711	805
469	712	803
470	713	801
471	714	799
472	715	797
473	717	795
474	718	793
475	719	791
476	720	790
477	721	788
478	722	786
479	723	784
480	725	782
481	726	780
482	727	778
483	728	776
484	729	774
485	731	773
486	732	771
487	733	769
488	734	767
489	735	766
490	737	764
491	738	762
492	739	760
493	740	758
494	741	756
495	742	754
496	743	752
497	745	751
498	746	749
499	747	747
500	748	745
501	750	744
502	751	742
503	752	740
504	753	738
505	754	736
506	755	734
507	756	733
508	757	731
509	758	729
510	760	727
511	761	725
512	762	724
513	764	722
514	765	720
515	766	719
516	767	717
517	768	715
518	769	713
519	770	711
520	771	709
521	773	707
522	774	706
523	775	704
524	776	702
525	777	700
526	779	699
527	780	697
528	781	695
529	782	693
530	783	692
531	784	690
532	785	688
533	786	686
534	787	684
535	789	683
536	790	681
537	791	679
538	792	678
539	794	676
540	795	674
541	796	672
542	797	671
543	798	669
544	799	667
545	801	666
546	802	664
547	803	662
548	804	661
549	805	659
550	807	657
551	808	655
552	809	654
553	810	652
554	811	650
555	812	649
556	813	647
557	814	645
558	815	643
559	817	642
560	818	640
561	819	638
562	820	637
563	822	635
564	823	633
565	824	632
566	825	630
567	826	628
568	827	627
569	829	625
570	830	623
571	831	622
572	832	620
573	833	618
574	835	617
575	836	615
576	837	614
577	838	612
578	840	610
579	841	609
580	842	607
581	843	605
582	844	604
583	845	602
584	847	600
585	848	599
586	849	597
587	851	596
588	852	594
589	853	593
590	854	591
591	855	589
592	856	588
593	857	586
594	861	586
595	862	584
596	864	583
597	866	582
598	867	581
599	869	579
600	871	578
601	872	577
602	874	575
603	875	573
604	876	572
605	877	570
606	878	568
607	880	567
608	881	565
609	882	564
610	883	562
611	884	560
612	885	559
613	887	557
614	888	556
